sale_id,car_id,rep_id,sale_date,sale_price,month
1,1,1,1/17/2026,89126,Jan
2,2,1,6/28/2026,46042,Jun
3,3,1,5/20/2026,61761,May
4,4,2,3/7/2026,82665,Mar
5,5,2,4/5/2026,96910,Apr
6,6,2,1/1/2026,81974,Jan
7,9,1,5/9/2026,99090,May
8,10,1,2/12/2026,73867,Feb
9,11,2,5/26/2026,67134,May
10,12,2,6/4/2026,58871,Jun
11,13,1,1/24/2026,67818,Jan
12,14,1,6/11/2026,57654,Jun
13,15,2,5/16/2026,61032,May
14,17,4,3/2/2026,69088,Mar
15,19,4,2/24/2026,42401,Feb
16,20,3,1/3/2026,62994,Jan
17,21,3,5/2/2026,95652,May
18,22,3,4/5/2026,51932,Apr
19,23,3,3/7/2026,86618,Mar
20,24,4,5/28/2026,60406,May
21,25,3,2/28/2026,86956,Feb
22,27,4,1/6/2026,72581,Jan
23,28,4,6/28/2026,121596,Jun
24,29,3,6/4/2026,109574,Jun
25,30,4,2/7/2026,63591,Feb
26,31,6,2/8/2026,107293,Feb
27,32,6,3/28/2026,98170,Mar
28,34,6,6/27/2026,94216,Jun
29,36,6,2/19/2026,106262,Feb
30,37,5,5/14/2026,39744,May
31,39,5,4/19/2026,46904,Apr
32,40,6,1/17/2026,91010,Jan
33,41,5,3/14/2026,58554,Mar
34,42,6,5/11/2026,114521,May
35,43,6,5/10/2026,42499,May
36,44,6,5/5/2026,48359,May
37,45,6,6/24/2026,49140,Jun
38,46,8,4/18/2026,57189,Apr
39,47,7,4/26/2026,51228,Apr
40,48,8,4/15/2026,104069,Apr
41,49,7,6/3/2026,45734,Jun
42,50,8,1/27/2026,86408,Jan
43,51,8,2/26/2026,71045,Feb
44,52,7,4/20/2026,56189,Apr
45,53,8,6/19/2026,57731,Jun
46,54,8,4/8/2026,110745,Apr
47,55,7,4/8/2026,83836,Apr
48,57,7,5/8/2026,52766,May
49,58,7,4/22/2026,101811,Apr
50,59,8,4/20/2026,53308,Apr
