car_id,brand,model,year,cost_price,list_price,branch_id
1,Chevrolet,Malibu,2018,78598,95792,1
2,Nissan,Patrol,2023,36717,48436,1
3,Honda,Civic,2022,57651,66757,1
4,Toyota,Corolla,2019,63118,82085,1
5,Honda,Accord,2023,72590,96206,1
6,Kia,Cerato,2021,68618,83683,1
7,Toyota,Corolla,2023,57696,71258,1
8,Nissan,Patrol,2024,52059,61198,1
9,Kia,Sportage,2020,85541,105728,1
10,Hyundai,Elantra,2023,60108,77182,1
11,Kia,Sportage,2022,49213,66799,1
12,Honda,CR-V,2022,42601,56495,1
13,Toyota,Corolla,2024,48965,68370,1
14,Nissan,Altima,2021,48217,60915,1
15,Hyundai,Tucson,2020,53283,64066,1
16,Hyundai,Elantra,2022,71613,85419,2
17,Chevrolet,Tahoe,2019,60294,75058,2
18,Chevrolet,Tahoe,2023,51252,69739,2
19,Toyota,Corolla,2024,32103,43380,2
20,Kia,Sorento,2018,43826,60405,2
21,Honda,CR-V,2019,72954,93002,2
22,Chevrolet,Captiva,2019,47359,56116,2
23,Chevrolet,Cruze,2023,68311,85874,2
24,Honda,City,2020,44373,62093,2
25,Nissan,X-Trail,2018,79530,92396,2
26,Toyota,Corolla,2023,40484,54573,2
27,Kia,Sportage,2021,55009,71455,2
28,Kia,Sorento,2022,86412,119733,2
29,Chevrolet,Malibu,2023,87985,112994,2
30,Hyundai,Accent,2018,49234,61970,2
31,Kia,Sportage,2023,87399,116234,3
32,Honda,Accord,2022,89809,105670,3
33,Chevrolet,Cruze,2024,71874,91777,3
34,Nissan,Patrol,2020,79971,95196,3
35,Honda,Civic,2022,51243,65189,3
36,Toyota,Land Cruiser,2024,82872,101674,3
37,Toyota,Corolla,2022,35161,41188,3
38,Kia,Sportage,2024,64911,87075,3
39,Nissan,X-Trail,2022,40821,49649,3
40,Honda,City,2019,65343,87482,3
41,Chevrolet,Tahoe,2023,50428,63022,3
42,Chevrolet,Cruze,2021,88957,113811,3
43,Toyota,Corolla,2019,34196,42216,3
44,Honda,Accord,2022,44432,51177,3
45,Chevrolet,Malibu,2019,34417,47370,3
46,Hyundai,Elantra,2022,45597,55611,4
47,Kia,Cerato,2022,38671,51465,4
48,Honda,City,2019,81420,103260,4
49,Kia,Cerato,2018,36352,47794,4
50,Hyundai,Santa Fe,2021,60606,82785,4
51,Toyota,Camry,2018,56386,75109,4
52,Toyota,Corolla,2019,42465,54528,4
53,Nissan,X-Trail,2019,48254,61073,4
54,Toyota,RAV4,2024,86449,117916,4
55,Toyota,Camry,2023,65427,88916,4
56,Toyota,Corolla,2019,56634,72005,4
57,Nissan,X-Trail,2018,40789,50772,4
58,Kia,Sorento,2024,81454,102938,4
59,Kia,Picanto,2019,42445,51960,4
60,Toyota,Camry,2023,50552,58857,4
